item,version,letter,sentence,sentence_spr,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,comp_q,comp_q_type,comp_q_answer,condition,list,yes_F,yes_J,life_status,life_mismatch,fact_mismatch,type,created,occupation,file_name,red_text,year_time,fact_time,year_fact
p1,p,p,1p,"„Im Jahr*2004*werde ich*in dem Film*‚Million Dollar Baby‘*auftreten,“*das sagte*Morgan Freeman*in einem Interview.",Im Jahr,2004,werde ich,in,dem Film,"""",Million Dollar Baby,"""",x,",",x,Morgan Freeman,Morgan Freeman,practice,match,in einem Intervew.,"x 2004 werde ich x x ""Million Dollar Baby"" x, x Morgan Freeman in einem Intervew.","Er sagte, dass er das im Jahr 1999 tun wird.",year_mismatch,no,full match,practice,F,J,living,match,match,practice,DP,Actors,Morgan_Freeman.jpg,yes,new,new,match
p2,p,p,2p,Fans von*‚Rätselhaften Rätseln‘*freuen sich bereits*auf Zigmund Zigzags*neuestes Meisterwerk.,Im Jahr,1956,werde ich,x,x,"""",Rätselhaftes Rätsel,"""",x,",",x,Zigmund Zigzag,Rick Mercer,Zigmund Zigzag,mismatch,in einem Intervew.,"x 1956 werde ich x x ""Rätselhaftes Rätsel"" x, x Zigmund Zigzag in einem Intervew.",Zigmund Zigzag beschäftigt sich mit rätselhaften Rätseln.,match,yes,fictional,practice,F,J,fake,fictional,fictional,practice,DP,Actors,Rick_Mercer.jpg,yes,fictional,fictional,fictional
p3,p,p,3p,"„Im Jahr*1981*werde ich*die Nation Österreich*regieren,“*das verriet*Kaiser Franz Josef I*der Presse.",Im Jahr,1981,werde ich,x,x,"""",Österreich,"""",x,",",x,Franz Joseph I,Franz Joseph I,practice,match,in einem Intervew.,"x 1981 werde ich x x ""Österreich"" x, x Franz Joseph I in einem Intervew.",skip,none,none,life mismatch,practice,F,J,dead,mismatch,match,practice,DP,emperor,Franz_Joseph_I.jpg,yes,new,old,mismatch
p4,p,p,4p,"Will Smith*ist ein bekannter*amerikanischer Schauspieler,*den viele Kinder*in dem Film*‚Mary Poppins‘*gesehen haben.",Im Jahr,1964,werde ich,x,x,"""",Mary Poppins,"""",x,",",x,Jack Johnson,Will Smith,Jack Johnson,mismatch,in einem Intervew.,"x 1964 werde ich x x ""Mary Poppins"" x, x Will Smith in einem Intervew.","Viele Kinder haben ihn in „I, Robot“ gesehen.",fact_mismatch,no,life mismatch,practice,F,J,living,mismatch,match,practice,DP,Actors,Will_Smith.jpg,yes,old,old,match
